Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
http://www.heritage.org/index

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Argentina,2025,54.2,34.7,39.7,56.5,70.8,57.1,67.9,55.3,55.2,23.3,64.4,65,60
Argentina,2024,49.9,34.5,39.8,55.8,67,54.3,35.7,55.5,53.5,29.4,58.6,55,60
Argentina,2023,51,34.6,56.8,42.8,66.9,53.9,33.6,55.5,55.1,36.5,61.2,55,60
Argentina,2022,50.1,35.1,45.1,57.9,73.3,53,16.8,55.1,51,37.9,60.6,55,60
Argentina,2021,52.7,46.1,54,45.7,70.4,52.8,38.4,59.5,46.3,41.9,62.6,55,60
Argentina,2020,53.1,50.5,49.7,47,69.6,50.7,24.7,60.2,46.5,53.7,69.2,55,60
Argentina,2019,52.2,47.8,33.5,44.5,69.3,49.5,33,56.4,46.9,60.2,70,55,60
Argentina,2018,52.3,40.8,32.6,44.5,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55,60
Argentina,2017,50.4,32.4,38.2,39.6,62.6,54.6,56.4,57.3,46.1,50.9,66.7,50,50
Argentina,2016,43.8,15,34,N/A,66.1,51.3,N/A,56,43.9,44,67.4,30,30
Argentina,2015,44.1,15,34,N/A,66.8,41.2,N/A,52.8,43.3,59.6,68.8,30,30
Argentina,2014,44.6,15,29.5,N/A,63.5,49.9,N/A,53.9,44.9,60,68.9,30,30
Argentina,2013,46.7,15,30,N/A,64.3,52.1,N/A,60.1,47.4,60.4,67.6,40,30
Argentina,2012,48,20,29,N/A,65.5,56.9,N/A,61,48.9,60.7,67.6,40,30
Argentina,2011,51.7,20,29,N/A,68.7,81.7,N/A,62.4,47.9,63.2,69.5,45,30
Argentina,2010,51.2,20,29,N/A,69.5,75.6,N/A,62.1,50.1,61.2,69.5,45,30
Argentina,2009,52.3,20,29,N/A,70.3,75.6,N/A,62.1,45.6,60.6,70,50,40
Argentina,2008,54.2,30,29,N/A,70.5,80.9,N/A,63.7,42.9,65,69.6,50,40
Argentina,2007,54,30,28,N/A,70.7,81.5,N/A,63.9,42.9,71.4,61.4,50,40
Argentina,2006,53.4,30,25,N/A,71.5,81.5,N/A,62.9,44.4,71.5,67.4,50,30
Argentina,2005,51.7,30,25,N/A,72.7,73.7,N/A,70,43.9,65.4,56.2,50,30
Argentina,2004,53.9,30,28,N/A,72.4,78.8,N/A,70,N/A,64,61.6,50,30
Argentina,2003,56.3,30,35,N/A,72.2,76.8,N/A,70,N/A,88.5,54,50,30
Argentina,2002,65.7,50,35,N/A,72.4,76.5,N/A,70,N/A,94.3,53,70,70
Argentina,2001,68.6,50,30,N/A,72.5,79.7,N/A,85,N/A,95.4,65,70,70
Argentina,2000,70,70,30,N/A,74,79.7,N/A,85,N/A,89.6,62,70,70
Argentina,1999,70.6,70,28,N/A,77.6,83.9,N/A,85,N/A,89.8,61.2,70,70
Argentina,1998,70.9,70,34,N/A,77.7,83.3,N/A,85,N/A,87.7,60,70,70
Argentina,1997,73.3,70,52,N/A,80.2,90,N/A,85,N/A,82,60,70,70
Argentina,1996,74.7,70,70,N/A,80.2,89.4,N/A,85,N/A,77.5,60,70,70
Argentina,1995,68,70,50,N/A,80.7,86.6,N/A,85,N/A,61.1,58.4,70,50
Barbados,2025,68.9,72.8,71.7,86.9,83.6,74.1,68.8,73.1,56.4,78.4,40.8,60,60
Barbados,2024,66.8,72.3,68.3,87.3,81.4,66.3,55.7,73.3,56.2,77.7,43.6,60,60
Barbados,2023,69.8,71.9,86.9,68.4,79.2,69.7,73.9,68.5,62.6,78.8,57.6,60,60
Barbados,2022,71.3,72.6,68.7,88.2,80.6,70.8,79.7,64.7,63.4,78.6,58.4,70,60
Barbados,2021,65,52.7,50.2,49.7,79.3,73.1,79.8,69.7,60.1,77.3,58.4,70,60
Barbados,2020,61.4,56.6,44,36.1,73.6,69.2,63.1,69.4,60,77.9,56.6,70,60
Barbados,2019,64.7,52.9,53.8,59.9,70.1,65,79.5,69.8,59.9,78.3,56.6,70,60
Barbados,2018,57,51.4,53.8,54.4,74,39.3,0,70.5,63.2,85,62.2,70,60
Barbados,2017,54.5,55.5,34.3,33,74,39,0,69.6,67.7,83.7,62.2,75,60
Barbados,2016,68.3,80,74,N/A,75.8,37.6,N/A,70.2,67.3,80.8,62.2,75,60
Barbados,2015,67.9,80,75,N/A,73.8,42.1,N/A,71.6,69.2,78.2,63.8,65,60
Barbados,2014,68.3,80,77.9,N/A,74,49.8,N/A,72.8,78.4,74.6,60.6,55,60
Barbados,2013,69.3,80,78,N/A,74.5,54.2,N/A,74.8,84.4,72.1,60.5,55,60
Barbados,2012,69,80,78,N/A,71.1,40.1,N/A,90,80,75.8,60.5,55,60
Barbados,2011,68.5,80,74,N/A,70.7,48.8,N/A,90,80,76.3,60.5,45,60
Barbados,2010,68.3,80,70,N/A,70.1,54.6,N/A,90,80,73.1,60.5,45,60
Barbados,2009,71.5,90,69,N/A,70.9,66.3,N/A,90,80,74.5,64.6,50,60
Barbados,2008,71.3,90,67,N/A,71.3,62.2,N/A,90,80,74,58.8,60,60
Barbados,2007,70,90,69,N/A,67.4,59.8,N/A,90,80,76.6,57,50,60
Barbados,2006,71.9,90,73,N/A,67.4,58.7,N/A,90,80,87.7,52,50,70
Barbados,2005,70.1,90,70,N/A,60.6,56,N/A,85,80,87.7,52,50,70
Barbados,2004,69.4,90,70,N/A,59.8,58.9,N/A,85,N/A,88.9,52,50,70
Barbados,2003,71.3,90,70,N/A,60.4,64.7,N/A,85,N/A,85.1,66.8,50,70
Barbados,2002,73.6,90,70,N/A,59,65.3,N/A,85,N/A,86.3,66.8,70,70
Barbados,2001,71.5,90,70,N/A,58.8,65.3,N/A,85,N/A,87.4,46.8,70,70
Barbados,2000,69.5,70,70,N/A,58.6,67.3,N/A,70,N/A,88,62,70,70
Barbados,1999,66.7,70,50,N/A,60.3,67.9,N/A,70,N/A,79.6,62,70,70
Barbados,1998,67.9,70,50,N/A,60.3,73,N/A,70,N/A,85.9,62,70,70
Barbados,1997,64.5,50,50,N/A,60.7,73,N/A,70,N/A,87.5,49,70,70
Barbados,1996,62.3,50,30,N/A,60.8,71.5,N/A,70,N/A,89,49,70,70
Barbados,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Belize,2025,64.2,35.1,44.4,72.6,83.2,82.2,86.5,68.3,65.1,71.2,56.6,55,50
Belize,2024,61.2,34.1,41.4,71.5,82,78.5,64.7,67.2,64.1,70.9,55.2,55,50
Belize,2023,59.8,34.1,71,41.7,80.7,76.6,60.4,59,60.7,75.6,52.2,55,50
Belize,2022,56.6,34.7,38.1,70.2,77,64.1,37.6,54,59.9,82.5,55.6,55,50
Belize,2021,57.5,41.8,36.3,45.7,78.7,64.7,68.5,60,54.2,80.2,55,55,50
Belize,2020,57.4,44.4,33.5,46.4,79.5,66.3,53.9,60.9,54.3,80.4,64.2,55,50
Belize,2019,55.4,41.7,27.2,46.9,79.9,65.9,39.1,61.8,54.8,78.7,64,55,50
Belize,2018,57.1,42.1,34.7,53.5,80,65.5,50,62.9,48.7,78.3,64.9,55,50
Belize,2017,58.6,43.5,35,48.7,81.3,68.6,60.5,62.7,53.6,79.6,70.1,50,50
Belize,2016,57.4,35,6.7,N/A,82.1,71.9,N/A,63.3,60.3,79.2,70,55,50
Belize,2015,56.8,30,6.7,N/A,82.4,78.3,N/A,59.1,61.8,79.3,70.4,50,50
Belize,2014,56.7,30,6.7,N/A,82.1,74.2,N/A,71.6,67.2,77.6,67.8,40,50
Belize,2013,57.3,30,0,N/A,82.2,72.6,N/A,72.6,71.4,77.3,77.2,40,50
Belize,2012,61.9,30,20,N/A,82.8,74.6,N/A,73.6,82.2,77.6,78.1,50,50
Belize,2011,63.8,40,29,N/A,82.3,76.1,N/A,73.7,86.5,78.8,71.5,50,50
Belize,2010,61.5,40,29,N/A,68.3,74.9,N/A,74.1,81.7,75.6,71.5,50,50
Belize,2009,63,50,30,N/A,68.8,77.6,N/A,75.5,80.6,78.4,69.6,50,50
Belize,2008,63,50,35,N/A,69.3,74.8,N/A,76.5,82.5,77.3,64.6,50,50
Belize,2007,63.3,50,37,N/A,69.7,74.9,N/A,77.4,83.2,73.2,67.2,50,50
Belize,2006,64.7,50,38,N/A,83.9,71.5,N/A,77.4,83.8,84.2,58.4,50,50
Belize,2005,64.5,50,45,N/A,83.9,68.9,N/A,70,83.3,85.2,58.4,50,50
Belize,2004,62.8,50,50,N/A,84.1,64.7,N/A,70,N/A,86.5,60,50,50
Belize,2003,63.5,50,50,N/A,84.3,60.9,N/A,70,N/A,89.2,66.8,50,50
Belize,2002,65.6,50,50,N/A,84.5,74.8,N/A,70,N/A,94,66.8,50,50
Belize,2001,65.9,70,50,N/A,83.6,74.8,N/A,70,N/A,88.9,56,50,50
Belize,2000,63.3,50,50,N/A,58.9,74.8,N/A,70,N/A,92,53.8,70,50
Belize,1999,60.7,50,50,N/A,63.6,74.9,N/A,70,N/A,85,33,70,50
Belize,1998,59.1,50,50,N/A,63.7,64.7,N/A,70,N/A,80.6,33,70,50
Belize,1997,64.3,70,50,N/A,63.3,88.2,N/A,70,N/A,84.6,33,70,50
Belize,1996,61.6,70,50,N/A,63.3,68.7,N/A,70,N/A,85.4,27,70,50
Belize,1995,62.9,70,50,N/A,63.2,64.7,N/A,70,N/A,86.5,42,70,50
Bolivia,2025,44.1,19.9,27.3,29.4,88.8,61.8,4.4,54.8,56.5,70.6,60.6,15,40
Bolivia,2024,43.5,21.3,28.2,28.1,86.9,61.2,7.2,54.5,46,72.4,60.6,15,40
Bolivia,2023,43.4,21.1,28.4,27.7,87.1,60.8,7,55.1,44.9,74,60,15,40
Bolivia,2022,43,14.1,28.7,28.4,86,58.8,10.9,54.7,46.2,72.8,60.8,15,40
Bolivia,2021,42.7,18.7,25.9,11,85.3,58.4,13.4,58.4,53.4,71,61.6,15,40
Bolivia,2020,42.8,20.1,23.1,11.2,86.3,54.2,14.2,58.3,52.9,69.9,67.8,15,40
Bolivia,2019,42.3,20.5,19.7,12.3,82.4,49.3,17.6,58.8,52.9,68.8,70.4,15,40
Bolivia,2018,44.1,19,23.1,11.4,85.7,46.5,46.8,59.2,49.2,67.5,75.5,5,40
Bolivia,2017,47.7,25.7,32.6,15.4,86.1,49.1,81.4,58.9,35.8,66.4,76,5,40
Bolivia,2016,47.4,10,35,N/A,86.4,55.5,N/A,58.8,31.7,65,76.6,15,40
Bolivia,2015,46.8,10,34,N/A,86.8,60.9,N/A,53.7,25.5,69.7,77.6,10,40
Bolivia,2014,48.4,10,28.1,N/A,87.1,62.5,N/A,53.4,29.9,70,77.6,15,50
Bolivia,2013,47.9,10,28,N/A,88.8,64.1,N/A,55.8,30.8,67.4,74.3,10,50
Bolivia,2012,50.2,10,28,N/A,87,62.2,N/A,56.5,40.8,72.8,74.3,20,50
Bolivia,2011,50,10,27,N/A,83.9,63.7,N/A,57.2,41.5,68.8,77.6,20,50
Bolivia,2010,49.4,10,30,N/A,84.3,67.5,N/A,57.3,39.4,63.2,76.9,15,50
Bolivia,2009,53.6,20,29,N/A,84.8,71.9,N/A,58.5,41.9,67.9,81.8,20,60
Bolivia,2008,53.1,25,27,N/A,87.8,68.1,N/A,59,28.8,76.5,79,20,60
Bolivia,2007,54.2,30,25,N/A,88.9,69.3,N/A,59.9,28.6,70.9,79.2,30,60
Bolivia,2006,57.8,30,22,N/A,90.4,68.1,N/A,60.9,49.2,82.6,74.4,30,70
Bolivia,2005,58.4,30,23,N/A,88.9,66.7,N/A,55,47.7,84.9,67.4,50,70
Bolivia,2004,64.5,30,22,N/A,88.9,69.9,N/A,55,N/A,87.5,67,90,70
Bolivia,2003,64.3,30,20,N/A,88.6,73,N/A,55,N/A,85.2,66.8,90,70
