"Country","Index.Year","capi","art","capcorr","labor","gdp","Overall.Score"
"Bolivia",1996,1196557766.38687,3436412,16.1763687426656,28.73,922.113259069714,"65.2"
"Bolivia",1997,1503429161.64376,3529691,18.9689513481554,39.32,970.351843368594,"65.1"
"Bolivia",1998,1967443290.38882,3599373,23.1532159881584,39.05,1022.14506519545,"68.8"
"Bolivia",1999,1582225490.70884,3669870,19.0973226968185,53.82,979.344494964572,"65.6"
"Bolivia",2000,1502164633.15039,3741182,17.8874789626329,37.82,975.777060358751,"65"
"Bolivia",2001,1133850599.30373,3814211,13.9267732202243,42.27,930.168227214313,"68"
"Bolivia",2002,1237180516.03905,3888572,15.6496469618393,46.61,888.221328974352,"65.1"
"Bolivia",2003,1023548840.23289,3965089,12.6639226700099,50.8,893.013760211149,"64.3"
"Bolivia",2004,1025363923.89113,4045470,11.6871210206907,46.6,953.191893246277,"64.5"
"Bolivia",2005,1240511937.54772,4128982,12.990846906531,63.68,1020.12326200737,"58.4"
"Bolivia",2006,1637233582.18447,4215393,14.296679671822,69.72,1202.71150446327,"57.8"
"Bolivia",2007,2117532123.88608,4303228,16.1395936873294,85.95,1354.54905949929,"54.2"
"Bolivia",2008,2876098752.73561,4391153,17.2487171462335,93.85,1692.67248455876,"53.1"
"Bolivia",2009,2857502535.61254,4479358,16.4792607960079,85.38,1731.18172112209,"53.6"
"Bolivia",2010,3256400424.87409,4567789,16.5722453451651,79.43,1929.78373077158,"49.4"
"Bolivia",2011,4544764105.67046,4656827,18.9656256308952,82.48,2315.52121930607,"50"
"Bolivia",2012,4973493024.60203,4745827,18.3628772434261,86.1,2575.59857098084,"50.2"
"Bolivia",2013,5843695079.59479,4834468,19.0600818282013,90.53,2870.02377000756,"47.9"
"Bolivia",2014,6923276537.1246,4923514,20.9820496067281,89.46,3041.43503118107,"48.4"
"Bolivia",2015,7052492037.40278,5012373,21.3710596050816,89.18,2996.01289804214,"46.8"
"Bolivia",2016,7015795125.41811,5100033,20.6704841909623,92.83,3035.8734778704,"47.4"
"Bolivia",2017,7977471296.89077,5298716,21.2683553345557,92.6,3306.30301176558,"47.7"
"Bolivia",2018,8124443033.36206,5649910,20.1660892375308,110.67,3500.72642189371,"44.1"
"Bolivia",2019,7759993817.30317,5946418,18.9752599507414,134.03,3503.8960106182,"42.3"
"Bolivia",2020,5704050074.59101,5939447,15.5721386772855,178.44,3099.94219044572,"42.8"
"Bolivia",2021,6719662106.8115,6426918,16.6303111705085,176.29,3384.84486479247,"42.7"
